density,architecture,repetition,rank,area_m2[m^2],absorbedPAR_umol_m2_s1,log_absorbedPAR_umol_m2_s1
High,architectureD,92,8,0.0022953261740583,187.0036075034932,2.271849984631411
High,architectureD,93,8,0.0023387474880859,166.9380059579586,2.2225552216330122
High,architectureD,94,8,0.002306109166837,132.5328972998507,2.1223236921782975
High,architectureD,95,8,0.0023109930405505,180.3700695906897,2.256164472839889
High,architectureD,96,8,0.0023338329341585,205.42988101081792,2.3126636145984714
High,architectureD,97,8,0.0023163256421332,168.28771008304565,2.226052400954991
High,architectureD,98,8,0.0023434322170559,175.0683049258449,2.243207526770087
High,architectureD,99,8,0.0022778082034373,182.88855279452187,2.2621865233345155
High,architectureD,9,8,0.0023015726102981,164.95454912296472,2.2173642970366125
High,control,100,8,0.0022944442742118,104.10859025908007,2.0174865657083996
High,control,10,8,0.0023059684306921,100.77035626279248,2.0033327939656274
High,control,11,8,0.0022706918531063,146.82879630099112,2.1668112384695863
High,control,12,8,0.0022864580478287,114.75360636587207,2.0597663430126696
High,control,13,8,0.0023157698585758,140.70616340927108,2.1483131214291324
High,control,14,8,0.0023393485809801,116.91000770106984,2.0678516891201024
High,control,15,8,0.0023161954794579,145.48891966256704,2.162829919008219
High,control,16,8,0.0022840602141254,127.41622177996568,2.1052247229839764
High,control,17,8,0.0023262834837786,142.7178389016572,2.154478260797525
High,control,18,8,0.0023162393225626,140.47716450176878,2.1476057325194353
High,control,19,8,0.0023131309327517,138.74336463898024,2.1422122222842024
High,control,1,8,0.0022640896605582,149.06413021552126,2.1733731503368703
High,control,20,8,0.0023442256408642,129.76606517840386,2.1131611359727698
High,control,21,8,0.0022814903948609,118.06294357745873,2.0721136069684456
High,control,22,8,0.0022917584842917,125.19919197424372,2.0976015259809637
High,control,23,8,0.0022952678588283,98.57971814637864,1.9937875721099667
High,control,24,8,0.0023148879656455,163.5849082114892,2.2137432346482577
High,control,25,8,0.0023257211243088,135.57374929818764,2.1321756066505424
High,control,26,8,0.002287217973076,130.26782271610375,2.1148371544493623
High,control,27,8,0.0023267390752738,120.10252822210772,2.079552149628998
High,control,28,8,0.0023305146753616,142.5858112250144,2.1540763108365484
High,control,29,8,0.0023300124812024,168.91554326373324,2.227669614302114
High,control,2,8,0.0023315593366481,165.38124876393195,2.2184862668851992
High,control,30,8,0.0023497913595103,156.1399951022211,2.1935141614057767
High,control,31,8,0.0023237991264773,154.55125312880782,2.1890725307498253
High,control,32,8,0.0023077761758495,105.09731540391545,2.02159162259193
High,control,33,8,0.0023277816423383,160.8149482243305,2.2063264152433377
High,control,34,8,0.0022912065364526,156.27392734903145,2.193886526624622
High,control,35,8,0.0023152399000678,145.6070454233617,2.1631823894994167
High,control,36,8,0.0022874020668091,157.27232754136733,2.1966523141469927
High,control,37,8,0.0023342333427656,140.59172806475576,2.147959769037197
High,control,38,8,0.0023006389123465,145.47412947066235,2.1627857670187813
High,control,39,8,0.0023109494090811,137.99090838389716,2.1398504735840276
High,control,3,8,0.0023032587287406,162.39896962188155,2.210583269431322
High,control,40,8,0.0022865076002474,123.70421794033824,2.0923845080121737
High,control,41,8,0.0023095382589443,115.4556058155932,2.0624150244396287
High,control,42,8,0.0023445217754744,153.0507939980594,2.184835586975375
High,control,43,8,0.002297759795581,94.19721369341616,1.974038056768771
High,control,44,8,0.0023268390681498,143.37364897122316,2.1564693385145053
High,control,45,8,0.0022962089757758,129.96496922882196,2.113826308300818
High,control,46,8,0.0023135338298036,121.59659282574717,2.084921406041093
High,control,47,8,0.0023354119194515,186.91073171641668,2.2716342376625014
High,control,48,8,0.0023288155572505,102.3492505313173,2.0100846668196777
High,control,49,8,0.0022969097212695,162.39145861144735,2.2105631826916765
High,control,4,8,0.0023318309021888,130.6707252969438,2.116178301688749
High,control,50,8,0.0022999870933564,158.01592044595782,2.1987008452677697
High,control,51,8,0.0023184557854364,151.41596344458432,2.1801716642685824
High,control,52,8,0.0022928860762162,126.9838585255682,2.1037485193905847
High,control,53,8,0.0023152389594661,150.62489830320797,2.1778967666982263
High,control,54,8,0.0023123876139656,83.58847456162705,1.9221463996955541
High,control,55,8,0.0023291693175467,158.79241300796974,2.200829748295814
High,control,56,8,0.0023186081933416,136.6334984946432,2.1355571885683116
High,control,57,8,0.0023289867937885,153.68301562465163,2.18662587382329
High,control,58,8,0.0023246773206297,130.33273979373732,2.115053524889312
High,control,59,8,0.0023046296570891,144.68212736457602,2.160414885878246
High,control,5,8,0.0022910702902977,79.17596499631777,1.8985933652554672
High,control,60,8,0.0023191091688684,129.01032359345726,2.1106244645649843
High,control,61,8,0.0023089764901171,158.79995740930727,2.200850381611825
High,control,62,8,0.0023003423724476,153.09988562404874,2.1849748662510824
High,control,63,8,0.002325946474492,165.81854038423236,2.219633087953677
High,control,64,8,0.0022989943643491,145.2104882350479,2.161997985634764
High,control,65,8,0.002290035459682,186.69983543853496,2.2711439351522507
High,control,66,8,0.0023527725135771,93.4439363879901,1.9705511250976717
High,control,67,8,0.0023291312854239,154.84706234409165,2.18990297062369
High,control,68,8,0.0023265708804758,127.08732662148007,2.104102244080503
High,control,69,8,0.0023279074021677,154.08165711072104,2.1877509405370277
High,control,6,8,0.0022841531331234,117.27908232494876,2.0692205590810726
High,control,70,8,0.0023356181145578,156.20324609523198,2.1936900548075977
High,control,71,8,0.0023002847495281,106.43909414929637,2.0271011698286556
High,control,72,8,0.0023258687337622,173.62558004204683,2.239613709623365
High,control,73,8,0.0023294292597404,138.17732907969653,2.1404367936658644
High,control,74,8,0.0023260300967489,135.56246940947543,2.1321394713569957
High,control,75,8,0.0023162245302178,110.97562876580254,2.0452276143303836
High,control,76,8,0.0023230297378087,105.11501948038658,2.0216647751283023
High,control,77,8,0.0023218544352467,130.01053375773208,2.1139785412877843
High,control,78,8,0.0023282811972799,136.6327285805032,2.1355547413616724
High,control,79,8,0.0023135071941769,134.3141919369749,2.12812190361645
High,control,7,8,0.0022956382062203,124.49566213068078,2.095154219339151
High,control,80,8,0.0023029387637099,140.96516295665342,2.149111797726049
High,control,81,8,0.002294602859657,178.3449970518392,2.2512609309816094
High,control,82,8,0.0022713063855388,163.71153327756696,2.214079276005516
High,control,83,8,0.0023330500962689,154.41757983337223,2.1886967415308862
High,control,84,8,0.002320117594858,85.03592224644395,1.9296024261586007
High,control,85,8,0.0022883563922942,94.63756792234231,1.9760635708899688
High,control,86,8,0.0023065247246643,155.0691338336495,2.190525361064712
High,control,87,8,0.0023316937458634,130.2157592374347,2.1146635474862965
High,control,88,8,0.0022930331171588,110.94279513274256,2.045099103452266
High,control,89,8,0.0022832212873271,115.6515131337111,2.063151319262472
High,control,8,8,0.0022985212195665,115.09342557837734,2.061050516361504
High,control,90,8,0.0022967639625882,157.52872646614398,2.197359761986838
High,control,91,8,0.002307835439289,149.17959924792254,2.173709436140421
High,control,92,8,0.0023409635927011,100.47167943945504,2.002043661791649
High,control,93,8,0.00232119262513,133.60398202988347,2.125819402359835
High,control,94,8,0.002294121318621,157.31089105982667,2.1967587910495308
High,control,95,8,0.0022738103820502,131.3396266671677,2.1183957774714517
High,control,96,8,0.0023029004826043,158.56896520074858,2.200218192055084
High,control,97,8,0.002330922409596,152.0954960158078,2.182116353537264
High,control,98,8,0.0022849148420558,144.44631699229893,2.159706472934713
High,control,99,8,0.0023419914476486,118.93394693302332,2.075305831586486
High,control,9,8,0.0023296327118862,144.83671426889757,2.16087866395585
High,architectureA,100,9,0.0005573221773113,181.88962196811875,2.2598079203358448
High,architectureA,10,9,0.0005524026404044,162.76493460610132,2.2115608480509557
High,architectureA,11,9,0.0005420467499219,184.6370457360709,2.2663188426520517
High,architectureA,12,9,0.0005659786695353,181.4066354209077,2.2586531684681854
High,architectureA,13,9,0.0005547213731982,153.52777116480354,2.186186945107917
High,architectureA,14,9,0.000546021008853,166.6798325216388,2.2218830554103626
High,architectureA,15,9,0.0005523493988484,137.77076991255086,2.1391570854072532
High,architectureA,16,9,0.0005585722339177,168.29226288039274,2.2260641500483653
High,architectureA,17,9,0.0005429089245843,180.684086830806,2.256919905156982
High,architectureA,18,9,0.0005533351718066,177.19345586829434,2.2484476784270475
High,architectureA,19,9,0.0005501790191681,176.53569925693364,2.24683254214634
High,architectureA,1,9,0.0005490699266257,174.81186938395135,2.242570917045232
High,architectureA,20,9,0.0005495210025532,183.6491916430592,2.263989021079181
High,architectureA,21,9,0.0005497473558758,157.26021556760435,2.1966188666485507
High,architectureA,22,9,0.0005565705731025,135.27035554820006,2.1312026315388994
High,architectureA,23,9,0.0005487658115328,161.55651523806293,2.2083244768995227
High,architectureA,24,9,0.0005636447866013,178.98257990678022,2.252810763837355
High,architectureA,25,9,0.0005608372297395,195.368871785819,2.290855368550756
High,architectureA,26,9,0.0005467034983778,145.68504412114405,2.1634149698273277
High,architectureA,27,9,0.0005430309375489,174.9675110042671,2.2429574138206783
High,architectureA,28,9,0.0005499703211924,172.390556751727,2.236513472260498
High,architectureA,29,9,0.0005399904207527,165.5699256320266,2.2189814537157244
High,architectureA,2,9,0.0005635000362807,191.55385882930952,2.2822909052170113
High,architectureA,30,9,0.0005373096712036,149.93811863524886,2.175912057187325
High,architectureA,31,9,0.0005480442397602,144.90965233140815,2.161097314488796
High,architectureA,32,9,0.0005564900619334,132.78096321459105,2.123135814764769
High,architectureA,33,9,0.0005425596870043,157.96598735181774,2.1985635863494917
High,architectureA,34,9,0.0005482815133294,152.76094853766293,2.184012346371835
High,architectureA,35,9,0.00054415442656,157.98304804537486,2.1986104886295834
High,architectureA,36,9,0.0005318791565047,147.9958682733881,2.170249590995527
High,architectureA,37,9,0.0005495426046076,169.60422478387937,2.2294366661841014
High,architectureA,38,9,0.0005427467586342,174.32384045453023,2.2413567851009693
High,architectureA,39,9,0.0005542024463769,180.99781152365784,2.25767332377004
High,architectureA,3,9,0.0005463804500844,164.09585516617622,2.215097611515058
High,architectureA,40,9,0.0005443504175953,141.2608842964189,2.150021920617209
High,architectureA,41,9,0.0005449210012807,186.94453446772167,2.2717127725915653
High,architectureA,42,9,0.0005697088565114,184.0223583000848,2.264870592011987
High,architectureA,43,9,0.0005558767414284,182.82873448077893,2.262044453135972
High,architectureA,44,9,0.0005705234821072,159.8081591587696,2.2035989488651517
High,architectureA,45,9,0.0005581372414301,148.94496617024825,2.173025830132962
High,architectureA,46,9,0.0005547413605161,163.59069565813695,2.2137585992177056
High,architectureA,47,9,0.0005461877856875,187.64100298140383,2.273327745678473
High,architectureA,48,9,0.0005619298092683,165.10883831782877,2.2177703217783864
High,architectureA,49,9,0.0005522026233952,156.0057569069834,2.19314062493654
High,architectureA,4,9,0.000551118411602,165.65539240882936,2.219205577587624
High,architectureA,50,9,0.0005572447313287,161.63659942436934,2.208539705005163
High,architectureA,51,9,0.0005499987107652,174.42301916786326,2.2416037996210747
High,architectureA,52,9,0.0005568050506079,157.05452147567772,2.1960504439097583
High,architectureA,53,9,0.0005572936547752,218.43331158250385,2.339318869990944
High,architectureA,54,9,0.0005539053629947,189.34227473621195,2.277247590376427
High,architectureA,55,9,0.000531719837119,179.85982967958617,2.254934177817289
High,architectureA,56,9,0.0005470458602234,144.41934056421238,2.1596253576232383
High,architectureA,57,9,0.0005453065557285,183.47330665488013,2.263572888120759
High,architectureA,58,9,0.0005525283961568,182.2977008252141,2.260781191281311
High,architectureA,59,9,0.0005531222503298,187.5347157437714,2.2730816745191116
High,architectureA,5,9,0.0005454834192324,157.80212973182836,2.198112860245641
High,architectureA,60,9,0.000532898139593,149.23578389115266,2.173872971146922
High,architectureA,61,9,0.000532111018853,167.87544449520104,2.224987175589251
High,architectureA,62,9,0.0005510709552261,202.33917476984848,2.3060799744133793
High,architectureA,63,9,0.000542601542303,144.6348064467453,2.16027281874512
High,architectureA,64,9,0.0005562971878636,152.1770374015952,2.1823491249566507
High,architectureA,65,9,0.0005591983559715,170.49327387981768,2.23170725034025
High,architectureA,66,9,0.0005333795113263,156.00354770473234,2.1931344748356754
High,architectureA,67,9,0.000547256968158,149.90333999694522,2.175811309473249
High,architectureA,68,9,0.00055532058106,166.6729232902435,2.2218650526129218
High,architectureA,69,9,0.0005472902927133,189.6127450757693,2.277867525671081
High,architectureA,6,9,0.0005600494416262,177.41558488837526,2.2489917673205713
High,architectureA,70,9,0.0005435650490297,175.26561348096303,2.2436967173467233
High,architectureA,71,9,0.0005398647404314,130.3273516673274,2.115035570214664
High,architectureA,72,9,0.0005635718351604,188.281218280953,2.274806999763006
High,architectureA,73,9,0.0005465004353594,137.6926422308126,2.1389107338376667
High,architectureA,74,9,0.0005517687572598,171.78467957854528,2.2349844291623646
High,architectureA,75,9,0.0005553562324722,185.80452155642115,2.269056278350357
High,architectureA,76,9,0.0005660972612531,162.45284123996296,2.210727311396896
High,architectureA,77,9,0.0005504243395712,182.40161048200977,2.2610286685338576
High,architectureA,78,9,0.0005547074190881,170.78731908826364,2.2324556213035516
High,architectureA,79,9,0.0005529370299575,147.3461196895183,2.1683387033374903
High,architectureA,7,9,0.0005732285562612,174.1161451223152,2.2408390434460808
High,architectureA,80,9,0.0005412758948071,180.44480647079203,2.256344386791562
High,architectureA,81,9,0.0005515255073758,161.34766736944022,2.207762691116414
High,architectureA,82,9,0.0005607050380541,120.7077764527578,2.0817352498962793
High,architectureA,83,9,0.0005505153203183,162.8215283478743,2.211711826993918
High,architectureA,84,9,0.0005606181286676,130.3859138782902,2.1152306753271235
High,architectureA,86,9,0.000553496869189,185.38752882640887,2.2680805154393076
High,architectureA,87,9,0.0005490780207639,155.96444568694088,2.1930256060349858
High,architectureA,88,9,0.0005591545285976,132.8548127299337,2.1233772915592013
High,architectureA,89,9,0.000544251892462,168.05759624885658,2.2254581474773345
High,architectureA,8,9,0.0005494044040058,185.88692406192763,2.2692488410495777
High,architectureA,90,9,0.0005406629265269,178.7970748581906,2.2523604094076712
High,architectureA,91,9,0.000538886165388,161.71195086994112,2.208742116412778
High,architectureA,92,9,0.0005353890834552,125.52935766377898,2.098745306536998
High,architectureA,93,9,0.0005571687223721,189.86688331137125,2.2784492214544994
High,architectureA,94,9,0.0005525125588267,172.1194324053319,2.23582990524901
High,architectureA,95,9,0.0005412898706517,191.10622906735537,2.2812748430230445
High,architectureA,96,9,0.0005381611825965,156.5063374122241,2.194531928128047
High,architectureA,97,9,0.0005494907374314,138.4957623156924,2.141436485089516
High,architectureA,98,9,0.0005478910175068,179.1139274818398,2.2531293568894566
High,architectureA,99,9,0.0005429634075569,171.85657948761138,2.2351661636508093
