density,architecture,repetition,absorbedPAR_umol_m2_s1,log_absorbedPAR_umol_m2_s1
High,architecture_D,36,5.176581125410481,0.714043024498436
High,architecture_D,37,1.8688258848451027,0.2715688408258946
High,architecture_D,38,4.908716066094458,0.6909679120154004
High,architecture_D,39,4.791996394940943,0.6805164826579987
High,architecture_D,3,2.498962119737719,0.3977596729677594
High,architecture_D,40,3.382642432393187,0.5292560924241537
High,architecture_D,41,2.4737459405466504,0.3933550945314266
High,architecture_D,42,2.562134553861247,0.40860193355269947
High,architecture_D,43,4.186694841378875,0.6218713073122958
High,architecture_D,44,3.431617688077292,0.5354988977061037
High,architecture_D,45,6.290150799351516,0.7986610572960147
High,architecture_D,46,3.177287077267211,0.5020564563885055
High,architecture_D,47,3.959464796616628,0.5976364860304013
High,architecture_D,48,7.722520571460003,0.8877590738604633
High,architecture_D,49,3.70276537473627,0.5685261939058798
High,architecture_D,4,3.362509444885068,0.5266635128932023
High,architecture_D,50,4.102127246583395,0.6130091279075032
High,architecture_D,51,6.895900377641415,0.8385909787805303
High,architecture_D,52,3.0940153427564105,0.4905224629696594
High,architecture_D,53,2.707301017568134,0.43253654649852724
High,architecture_D,54,3.442999253885918,0.5369369285910331
High,architecture_D,55,4.599499101318274,0.6627105383384724
High,architecture_D,56,2.727016967890547,0.43568784019256807
High,architecture_D,57,5.018439333768576,0.7005686784770899
High,architecture_D,59,4.113989486606175,0.6142631775106842
High,architecture_D,5,5.279615558323903,0.7226023000002656
High,architecture_D,60,3.646181765829698,0.5618383148755091
High,architecture_D,61,4.772707716523442,0.6787648387266476
High,architecture_D,62,2.6493650348463875,0.42314180038764826
High,architecture_D,63,3.141908541367733,0.4971935388970099
High,architecture_D,64,3.0493959532423296,0.48421381962400134
High,architecture_D,65,3.557535828655076,0.5511492826449623
High,architecture_D,68,3.4137928443877907,0.5332371637415457
High,architecture_D,69,4.864426892288193,0.6870316807445016
High,architecture_D,6,5.618980328051378,0.7496575116404257
High,architecture_D,70,4.029636375631732,0.6052658582548646
High,architecture_D,71,6.34747524929433,0.8026010161049009
High,architecture_D,73,3.3202776133899023,0.521174397235014
High,architecture_D,74,6.447109303546404,0.8093650332520013
High,architecture_D,75,3.278139287279548,0.515627402685289
High,architecture_D,76,4.045619314315772,0.6069850140080996
High,architecture_D,77,3.27999808639488,0.515873590337171
High,architecture_D,7,4.694062359111999,0.6715488547637131
High,architecture_D,80,7.427025238438597,0.8708148997330192
High,architecture_D,81,2.625458696853801,0.41920519045031823
High,architecture_D,82,3.872593164002906,0.588001874494687
High,architecture_D,83,3.570447005971288,0.5527225914830347
High,architecture_D,84,2.0919469078912574,0.320550658253339
High,architecture_D,85,3.3027634574515483,0.5188774708145905
High,architecture_D,86,3.390991428869432,0.5303266920489758
High,architecture_D,87,2.614402995260717,0.41737253241369543
High,architecture_D,88,2.366753645368866,0.3741530547077051
High,architecture_D,89,3.5382387579085406,0.5487871354543161
High,architecture_D,8,5.86061266907869,0.7679430195832221
High,architecture_D,90,2.390753233084072,0.37853475175752166
High,architecture_D,91,4.837461821370105,0.6846175504644417
High,architecture_D,92,4.139338394108979,0.6169309317612136
High,architecture_D,93,5.850022709142388,0.7671575519686908
High,architecture_D,94,2.536509108280543,0.40423642615229044
High,architecture_D,95,4.720569287525683,0.6739943764989792
High,architecture_D,97,2.641031835095498,0.421773636240236
High,architecture_D,98,4.13282742877005,0.6162472711666279
High,architecture_D,99,5.239657342412671,0.7193028863796707
High,architecture_D,9,2.732623588739311,0.43657981296162374
High,architecture_E,100,5.173897473793338,0.7138178184649909
High,architecture_E,10,6.114117202500824,0.786333759530978
High,architecture_E,11,8.516244649915887,0.9302481291146065
High,architecture_E,12,7.925830001487017,0.8990447530589978
High,architecture_E,13,10.973966816442225,1.0403636426235177
High,architecture_E,14,8.433408887812607,0.9260031572956551
High,architecture_E,15,7.131268161177014,0.8531667677800173
High,architecture_E,16,8.575378729316697,0.9332533096384482
High,architecture_E,17,8.747984278084495,0.9419079938503635
High,architecture_E,18,3.210809501041351,0.5066145394186401
High,architecture_E,19,9.241878247527252,0.9657602428263382
High,architecture_E,1,5.561175598282013,0.7451666084667389
High,architecture_E,20,12.532253744736463,1.0980291796044348
High,architecture_E,21,4.7149811342029855,0.6734799593579852
High,architecture_E,22,13.041351636003531,1.1153226050184002
High,architecture_E,23,9.701028468124338,0.986817779044991
High,architecture_E,24,6.543248945082858,0.8157934438225978
High,architecture_E,25,7.940186917066759,0.8998307261166655
High,architecture_E,26,8.376848517715606,0.9230806619727739
High,architecture_E,27,8.350350166267072,0.9217046877098184
High,architecture_E,28,11.551925843846266,1.0626543923350051
High,architecture_E,29,4.19079802088948,0.6222967301426116
High,architecture_E,2,7.307005595948568,0.8637394399425421
High,architecture_E,30,10.153167035052409,1.0066015310481995
High,architecture_E,31,7.744156188173464,0.8889741034658637
High,architecture_E,32,9.2745296030374,0.9672918917657024
