density,architecture,repetition,absorbedPAR_umol_m2_s1,absorbedPAR_umol_m2_s1_crop,absorbedPAR_umol_m2_s1_crop%
High,C-Uniform90,29,4.728725723675144,268.32327427632487,98.26819590273092
High,D-Uniform70,29,2.7665303632971003,270.28546963670294,98.9868119027522
High,E-Uniform50,29,4.19079802088948,268.86120197911055,98.46520149243021
High,F-Uniform30,29,29.80420150955209,243.24779849044793,89.08478915754065
High,control,29,4.101353962806171,268.95064603719385,98.49795864421202
High,A-Gradient45-90,2,3.4929877488959695,269.55901225110404,98.72076097267333
High,B-Gradient90-45,2,3.645966719037012,269.406033280963,98.66473539141371
High,C-Uniform90,2,2.010075757402771,271.04192424259725,99.26384873306083
High,D-Uniform70,2,3.64881357510259,269.40318642489746,98.66369278558568
High,E-Uniform50,2,7.307005595948568,265.74499440405145,97.32395089728382
High,F-Uniform30,2,19.06180953018772,253.9901904698123,93.0189819044769
High,control,2,6.307004230740522,266.7449957692595,97.6901820053541
High,A-Gradient45-90,30,3.3853135855304464,269.66668641446955,98.7601945469982
High,B-Gradient90-45,30,8.022336242354884,265.02966375764515,97.06197491966554
High,C-Uniform90,30,2.5933875179539854,270.458612482046,99.0502221122885
High,D-Uniform70,30,3.476295307354862,269.57570469264516,98.72687425568944
High,E-Uniform50,30,10.153167035052407,262.8988329649476,96.2815994627205
High,F-Uniform30,30,17.764964558192194,255.28703544180783,93.49392622716837
High,control,30,5.3928096242169445,267.65919037578306,98.02498805201319
High,A-Gradient45-90,31,1.9584421379151038,271.09355786208494,99.28275854492364
High,B-Gradient90-45,31,6.914876894802787,266.13712310519725,97.46756042995372
High,C-Uniform90,31,1.1708458122981393,271.8811541877019,99.57120042618325
High,D-Uniform70,31,7.642844730395443,265.4091552696046,97.20095632685516
High,E-Uniform50,31,7.744156188173464,265.30784381182656,97.1638529700667
High,F-Uniform30,31,20.24106815158201,252.81093184841802,92.58710130246914
High,control,31,3.4927185398507943,269.55928146014924,98.72085956526567
High,A-Gradient45-90,32,2.1600696520751494,270.89193034792487,99.20891637780527
High,B-Gradient90-45,32,8.903899457067181,264.14810054293287,96.7391194874723
High,C-Uniform90,32,3.0352753637685543,270.01672463623146,98.88838925780857
High,D-Uniform70,32,2.368766357125009,270.683233642875,99.13248525660863
High,E-Uniform50,32,9.274529603037399,263.7774703969626,96.60338338373737
High,F-Uniform30,32,16.36677737962071,256.6852226203793,94.00598516779928
High,control,32,4.749639780043995,268.30236021995603,98.26053653514936
High,A-Gradient45-90,33,4.080875038010455,268.9711249619896,98.50545865329298
High,B-Gradient90-45,33,6.088949196777876,266.96305080322213,97.77004043303917
High,C-Uniform90,33,2.9570512633850417,270.094948736615,98.91703731765926
High,D-Uniform70,33,3.4962034511553024,269.55579654884474,98.71958328407948
High,E-Uniform50,33,5.5502273907263335,267.5017726092737,97.9673368476604
High,F-Uniform30,33,16.102518130990678,256.94948186900933,94.10276499311827
High,control,33,4.085208222610242,268.9667917773898,98.50387170846204
High,A-Gradient45-90,34,2.4510641179926567,270.6009358820074,99.10234529760169
High,B-Gradient90-45,34,4.3710371663207725,268.68096283367925,98.3991924005974
