density,architecture,repetition,absorbedPAR_umol_m2_s1,absorbedPAR_%,absorbedPAR_umol_m2_s1_crop,absorbedPAR_umol_m2_s1_crop%
High,B-Gradient90-45,37,8.012406404838345,2.9343884699025624,265.0395935951617,97.06561153009746
High,B-Gradient90-45,38,4.844631981789033,1.774252516659476,268.207368018211,98.22574748334053
High,B-Gradient90-45,39,3.651544495093756,1.3373073609033284,269.4004555049063,98.66269263909668
High,B-Gradient90-45,3,3.6939886246300087,1.3528517002732112,269.35801137537004,98.6471482997268
High,B-Gradient90-45,40,9.166598553103508,3.3570889622136098,263.88540144689654,96.6429110377864
High,B-Gradient90-45,41,3.232879707804328,1.1839795012687429,269.8191202921957,98.81602049873126
High,B-Gradient90-45,42,4.447985699389787,1.6289885074600392,268.60401430061023,98.37101149253996
High,B-Gradient90-45,43,3.494310608263329,1.2797234989171764,269.5576893917367,98.72027650108282
High,B-Gradient90-45,44,3.1698549592263903,1.1608979092723692,269.88214504077365,98.83910209072764
High,B-Gradient90-45,45,5.900824465167228,2.1610625321064223,267.1511755348328,97.8389374678936
High,B-Gradient90-45,46,6.692741447292565,2.4510867700264285,266.35925855270744,97.54891322997356
High,B-Gradient90-45,47,3.2799784237696703,1.2012284926569556,269.7720215762304,98.79877150734303
High,B-Gradient90-45,48,7.350303182773457,2.6919060042678526,265.70169681722655,97.30809399573214
High,B-Gradient90-45,49,4.808146235419677,1.760890319580035,268.2438537645804,98.23910968041996
High,B-Gradient90-45,50,8.973050152546456,3.2862056137828897,264.07894984745354,96.7137943862171
High,B-Gradient90-45,51,4.299962596987533,1.574777916655997,268.7520374030125,98.425222083344
High,B-Gradient90-45,52,4.129267344139588,1.5122640904075368,268.92273265586044,98.48773590959247
High,B-Gradient90-45,53,3.5128962187901824,1.286530118362137,269.53910378120986,98.71346988163788
High,B-Gradient90-45,54,8.335496790757013,3.052714058405363,264.716503209243,96.94728594159464
High,B-Gradient90-45,55,4.105960406738991,1.5037283765506166,268.94603959326105,98.4962716234494
High,B-Gradient90-45,56,4.976843790494447,1.8226725277582465,268.0751562095056,98.17732747224174
High,B-Gradient90-45,57,2.1960588050930308,0.8042639515890858,270.855941194907,99.19573604841092
High,B-Gradient90-45,58,4.313620924549509,1.5797800142645022,268.7383790754505,98.42021998573549
High,B-Gradient90-45,59,7.362861830275778,2.696505365379407,265.68913816972423,97.3034946346206
High,B-Gradient90-45,5,4.572812888686027,1.6747040449020798,268.479187111314,98.32529595509791
High,B-Gradient90-45,60,4.475471460791142,1.639054634571855,268.5765285392089,98.36094536542814
High,B-Gradient90-45,61,6.807090661923839,2.4929649524353743,266.2449093380762,97.50703504756464
High,B-Gradient90-45,62,5.656841715206904,2.071708581225153,267.3951582847931,97.92829141877483
High,B-Gradient90-45,63,4.56653768969318,1.672405874959048,268.48546231030684,98.32759412504096
High,B-Gradient90-45,64,9.703766463027746,3.553816292511224,263.34823353697226,96.44618370748876
High,B-Gradient90-45,65,6.080465689503514,2.2268526469330068,266.9715343104965,97.773147353067
High,B-Gradient90-45,66,5.337730305265567,1.9548402155141025,267.71426969473447,98.0451597844859
High,B-Gradient90-45,67,3.611954057393346,1.3228081308297854,269.4400459426067,98.67719186917022
High,B-Gradient90-45,68,6.314352874916658,2.312509293071158,266.73764712508336,97.68749070692884
High,B-Gradient90-45,69,5.995325879464103,2.195671842529665,267.05667412053594,97.80432815747034
High,B-Gradient90-45,6,5.117869999175069,1.8743206419198792,267.9341300008249,98.12567935808012
High,B-Gradient90-45,70,9.10786811689731,3.3355800788484644,263.9441318831027,96.66441992115156
High,B-Gradient90-45,71,6.528194907516507,2.3908247907052527,266.5238050924835,97.60917520929476
High,B-Gradient90-45,72,4.026000883415144,1.4744447517011936,269.0259991165849,98.52555524829882
High,B-Gradient90-45,73,5.575082307000145,2.04176578344057,267.47691769299985,97.95823421655942
High,B-Gradient90-45,74,5.4116496332610975,1.981911735955458,267.6403503667389,98.01808826404454
High,B-Gradient90-45,75,5.891728849497891,2.157731439248894,267.1602711505021,97.8422685607511
High,B-Gradient90-45,76,6.96420406292385,2.550504688822586,266.0877959370762,97.44949531117742
High,B-Gradient90-45,77,7.930112101218261,2.9042497770454934,265.1218878987818,97.0957502229545
High,B-Gradient90-45,78,7.075790135726927,2.5913709241195546,265.9762098642731,97.40862907588044
High,B-Gradient90-45,79,2.824554045976586,1.0344381458391023,270.22744595402344,98.9655618541609
High,B-Gradient90-45,7,3.843256887068649,1.4075183067945478,269.20874311293136,98.59248169320544
High,B-Gradient90-45,80,5.063898894317827,1.85455477136876,267.9881011056822,98.14544522863125
High,B-Gradient90-45,81,5.456627703161711,1.998384081845843,267.5953722968383,98.00161591815416
